Date,Open,High,Low,Close,Adj Close,Volume
2018-05-01,148.343994,182.882996,110.903000,118.073997,118.073997,12636423040
2018-06-01,118.028000,127.367996,73.172699,81.374001,81.374001,9609510096
2018-07-01,81.503998,93.649902,75.310600,79.702301,79.702301,9125914976
2018-08-01,80.390800,80.733498,51.158501,61.925499,61.925499,7670866000
2018-09-01,61.738800,68.977203,47.667500,61.141899,61.141899,9420556000
2018-10-01,61.098598,61.729698,48.321400,49.441502,49.441502,10210349000
2018-11-01,49.562302,56.157101,27.072701,32.064762,32.064762,13203393662
2018-12-01,32.130596,36.558315,22.824781,30.468224,30.468224,14078196962
2019-01-01,30.458393,40.950657,30.127712,31.652176,31.652176,18358801535
2019-02-01,31.719522,53.415829,31.127136,46.237255,46.237255,31826711598
2019-03-01,46.235413,64.109009,45.853374,60.755398,60.755398,55778905676
2019-04-01,60.769836,97.495255,60.413891,74.280876,74.280876,89101457309
2019-05-01,74.303352,120.691711,72.298012,114.536957,114.536957,127061023233
2019-06-01,114.466255,146.434677,99.294312,122.249115,122.249115,136565831055
2019-07-01,122.114136,126.673798,77.497475,98.509575,98.509575,111295958067
2019-08-01,98.566689,105.591286,62.614578,64.576050,64.576050,87453207989
2019-09-01,64.558609,79.655220,51.844608,56.056908,56.056908,81171916358
2019-10-01,56.089233,61.912285,48.495190,58.780685,58.780685,87311520134
2019-11-01,58.746315,64.598618,42.963909,47.475430,47.475430,96575295159
2019-12-01,47.463898,48.301144,36.672943,41.340073,41.340073,88951143828
2020-01-01,41.326534,69.738029,39.450844,67.879494,67.879494,118327163243
2020-02-01,67.908516,83.689163,57.804031,58.543262,58.543262,159348899430
2020-03-01,58.530544,63.773266,25.573105,39.299103,39.299103,124412754141
2020-04-01,39.284687,50.921558,37.445934,46.714020,46.714020,121278672367
2020-05-01,46.714264,50.044678,40.135761,45.591885,45.591885,120524993240
2020-06-01,45.574230,49.761257,40.754646,41.467793,41.467793,59041931593
2020-07-01,41.433540,58.738693,40.656460,57.998138,57.998138,56139648693
2020-08-01,57.998138,68.519516,52.322857,61.113796,61.113796,81110899712
2020-09-01,61.105076,64.183960,42.543270,46.284039,46.284039,51447640914
2020-10-01,46.233166,60.302204,44.019604,55.590260,55.590260,69914580475
2020-11-01,55.590260,93.576019,51.606560,87.574631,87.574631,140287217899
2020-12-01,87.576599,138.319717,70.231308,124.690323,124.690323,232233300894
2021-01-01,124.672768,185.780350,114.956459,129.570816,129.570816,285440236411
2021-02-01,129.574600,245.957520,126.350449,164.927170,164.927170,257492279860
2021-03-01,164.983139,229.373978,163.966431,197.499100,197.499100,132914357105
2021-04-01,197.524368,335.024536,195.534042,271.167084,271.167084,198962657663
2021-05-01,271.142670,412.960144,118.642441,188.033676,188.033676,220555193127
2021-06-01,188.117554,197.684280,105.566292,144.135834,144.135834,72749710958
2021-07-01,144.136642,147.836060,104.325890,144.933212,144.933212,45265293423
2021-08-01,144.509857,191.382660,135.994553,171.659225,171.659225,63981066542
2021-09-01,171.465179,233.056854,140.145157,153.147995,153.147995,100051559818
2021-10-01,153.293655,214.021576,151.592651,191.816376,191.816376,85277846545
